#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	7600 RPKM	FV013 RPKM	up or down
FVEG_07653	NA	-4.41678	1	-4.82834	7.58754	0.240761	d
FVEG_07659	NA	-6.44777	1	-6.61466	68.3216	0.634254	d
FVEG_07660	NA	-4.45093	1	-5.10571	9.32322	0.238794	d
FVEG_07664	NA	-4.76131	1	-6.14238	1.94228	0.0217194	d
FVEG_07666	NA	5.07935	1	7.81364	0	4.58934	u
FVEG_07675	NA	-7.13228	1	-8.31062	11.917	0.0308535	d
FVEG_07676	NA	-5.49868	1	-5.86075	12.7915	0.198566	d
FVEG_07678	NA	-4.44187	1	-5.26252	2.50947	0.056364	d
FVEG_07683	NA	-4.28815	1	-4.39347	103.204	4.47504	d
FVEG_07684	NA	-5.47037	1	-5.7081	30.9435	0.537387	d
FVEG_07707	NA	-5.13831	1	-5.45906	7.37159	0.151616	d
FVEG_07717	NA	-5.18734	1	-5.86882	3.6681	0.0548578	d
FVEG_07722	NA	-5.1332	1	-5.92677	3.48682	0.049263	d
FVEG_07725	NA	-5.18308	1	-6.04826	3.86604	0.0497451	d
FVEG_07734	NA	-6.13823	1	-6.88487	7.05078	0.0513346	d
FVEG_07737	NA	-5.05631	1	-5.36791	4.15878	0.091168	d
FVEG_07739	NA	-4.50756	1	-4.82443	3.29873	0.105464	d
FVEG_07758	NA	-6.03103	1	-6.26013	31.3096	0.370878	d
FVEG_07759	NA	-6.30876	1	-6.44216	93.2336	0.976302	d
FVEG_07760	NA	-6.63357	1	-6.76951	73.3754	0.612322	d
FVEG_07768	NA	-4.60901	1	-5.99879	1.12426	0.0139031	d
FVEG_07772	NA	-5.33051	1	-5.58018	24.8186	0.470804	d
FVEG_07773	NA	-5.69043	1	-5.97068	20.7104	0.299219	d
FVEG_07827	NA	-4.73005	1	-6.24778	8.29434	0.0807278	d
FVEG_07861	NA	-5.32828	1	-8.13477	3.23542	0	d
FVEG_07862	NA	-4.69144	1	-4.82528	133.267	4.28164	d
